Case 5:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.15892

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.2500
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.1500
               h_bed: 0.5000
               l_bed: 10
               alpha: 1.5000
                beta: 1.5000
               omega: 5.0000e-04

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_005_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36500.0/37230.0 days/days; walltime: 14.3
36501.0/37230.0 days/days; walltime: 66.1
36502.0/37230.0 days/days; walltime: 11.7
36503.0/37230.0 days/days; walltime: 46.3
36504.0/37230.0 days/days; walltime: 13.0
36505.0/37230.0 days/days; walltime: 13.5
36506.0/37230.0 days/days; walltime: 9.8
36507.0/37230.0 days/days; walltime: 5.9
36508.0/37230.0 days/days; walltime: 5.9
36509.0/37230.0 days/days; walltime: 6.4
36510.0/37230.0 days/days; walltime: 2.8
36511.0/37230.0 days/days; walltime: 2.5
36512.0/37230.0 days/days; walltime: 2.7
36513.0/37230.0 days/days; walltime: 3.1
36514.0/37230.0 days/days; walltime: 5.7
36515.0/37230.0 days/days; walltime: 2.5
36516.0/37230.0 days/days; walltime: 2.0
36517.0/37230.0 days/days; walltime: 2.1
36518.0/37230.0 days/days; walltime: 2.1
36519.0/37230.0 days/days; walltime: 1.8
36520.0/37230.0 days/days; walltime: 1.7
36521.0/37230.0 days/days; walltime: 4.9
36522.0/37230.0 days/days; walltime: 1.2
36523.0/37230.0 days/days; walltime: 1.0
36524.0/37230.0 days/days; walltime: 1.2
36525.0/37230.0 days/days; walltime: 1.6
36526.0/37230.0 days/days; walltime: 38.4
36527.0/37230.0 days/days; walltime: 1.2
36528.0/37230.0 days/days; walltime: 1.0
36529.0/37230.0 days/days; walltime: 1.0
36530.0/37230.0 days/days; walltime: 32.3
36531.0/37230.0 days/days; walltime: 1.0
36532.0/37230.0 days/days; walltime: 0.9
36533.0/37230.0 days/days; walltime: 1.0
36534.0/37230.0 days/days; walltime: 1.0
36535.0/37230.0 days/days; walltime: 1.1
36536.0/37230.0 days/days; walltime: 0.9
36537.0/37230.0 days/days; walltime: 53.9
36538.0/37230.0 days/days; walltime: 0.9
